id,chart_template_id:id,code,name,user_type_id:id,reconcile,group_id:id
ccleen_au_6600,l10n_ccleen_au.l10n_ccleen_au_chart_template,6600,Motor Vehicle,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6602,l10n_ccleen_au.l10n_ccleen_au_chart_template,6602,Motor  Vehicle Fuel,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6604,l10n_ccleen_au.l10n_ccleen_au_chart_template,6604,Motor Vehicle Insurance,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6608,l10n_ccleen_au.l10n_ccleen_au_chart_template,6608,Motor Vehicle Registration,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6610,l10n_ccleen_au.l10n_ccleen_au_chart_template,6610,Motor Vehicle Service & Maintenance,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6612,l10n_ccleen_au.l10n_ccleen_au_chart_template,6612,Motor Vehicle - Parking,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6710,l10n_ccleen_au.l10n_ccleen_au_chart_template,6710,Consultants,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6722,l10n_ccleen_au.l10n_ccleen_au_chart_template,6722,Contractor - Operation,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6724,l10n_ccleen_au.l10n_ccleen_au_chart_template,6724,Contractor - Marketing,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6730,l10n_ccleen_au.l10n_ccleen_au_chart_template,6730,Accounting Services,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6800,l10n_ccleen_au.l10n_ccleen_au_chart_template,6800,Telecommunications,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6802,l10n_ccleen_au.l10n_ccleen_au_chart_template,6802,Emails,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6804,l10n_ccleen_au.l10n_ccleen_au_chart_template,6804,Fax,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6808,l10n_ccleen_au.l10n_ccleen_au_chart_template,6808,Mobile,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6810,l10n_ccleen_au.l10n_ccleen_au_chart_template,6810,Office Telephone,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6816,l10n_ccleen_au.l10n_ccleen_au_chart_template,6816,Domain Name Registration,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6818,l10n_ccleen_au.l10n_ccleen_au_chart_template,6818,Internet,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6830,l10n_ccleen_au.l10n_ccleen_au_chart_template,6830,IT Support,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6900,l10n_ccleen_au.l10n_ccleen_au_chart_template,6900,Product Development,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6920,l10n_ccleen_au.l10n_ccleen_au_chart_template,6920,Product Testing,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6922,l10n_ccleen_au.l10n_ccleen_au_chart_template,6922,Product Prototyoing,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6924,l10n_ccleen_au.l10n_ccleen_au_chart_template,6924,Product Development Sample,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6950,l10n_ccleen_au.l10n_ccleen_au_chart_template,6950,Sample,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7000,l10n_ccleen_au.l10n_ccleen_au_chart_template,7000,Insurance,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7004,l10n_ccleen_au.l10n_ccleen_au_chart_template,7004,Asset Insurance,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7006,l10n_ccleen_au.l10n_ccleen_au_chart_template,7006,Marine Insurance,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7020,l10n_ccleen_au.l10n_ccleen_au_chart_template,7020,ASIC Lodgement,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7030,l10n_ccleen_au.l10n_ccleen_au_chart_template,7030,Bank Service Charges,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7032,l10n_ccleen_au.l10n_ccleen_au_chart_template,7032,Bank Merchant Fees,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7060,l10n_ccleen_au.l10n_ccleen_au_chart_template,7060,Doubtful Debts,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7070,l10n_ccleen_au.l10n_ccleen_au_chart_template,7070,Bad Debts,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7072,l10n_ccleen_au.l10n_ccleen_au_chart_template,7072,Bad Debts : Recovered,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7074,l10n_ccleen_au.l10n_ccleen_au_chart_template,7074,Written Off,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7080,l10n_ccleen_au.l10n_ccleen_au_chart_template,7080,Debt Collection Costs,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7090,l10n_ccleen_au.l10n_ccleen_au_chart_template,7090,Stock Adjustment,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7100,l10n_ccleen_au.l10n_ccleen_au_chart_template,7100,Books and Publications,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7110,l10n_ccleen_au.l10n_ccleen_au_chart_template,7110,Cash Discounts,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7130,l10n_ccleen_au.l10n_ccleen_au_chart_template,7130,Equipment Rental,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7140,l10n_ccleen_au.l10n_ccleen_au_chart_template,7140,Tools & Expensed Equipment,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7150,l10n_ccleen_au.l10n_ccleen_au_chart_template,7150,Donations,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7160,l10n_ccleen_au.l10n_ccleen_au_chart_template,7160,Licenses and Permits,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7170,l10n_ccleen_au.l10n_ccleen_au_chart_template,7170,Penalties & Fines,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7180,l10n_ccleen_au.l10n_ccleen_au_chart_template,7180,Postage and Delivery,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7190,l10n_ccleen_au.l10n_ccleen_au_chart_template,7190,Printing and Stationery,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7200,l10n_ccleen_au.l10n_ccleen_au_chart_template,7200,Office & Store Supplies,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7210,l10n_ccleen_au.l10n_ccleen_au_chart_template,7210,Computer Supplies,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7220,l10n_ccleen_au.l10n_ccleen_au_chart_template,7220,Repairs,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7222,l10n_ccleen_au.l10n_ccleen_au_chart_template,7222,Repairs - Building,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7224,l10n_ccleen_au.l10n_ccleen_au_chart_template,7224,Repairs - Computer,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7226,l10n_ccleen_au.l10n_ccleen_au_chart_template,7226,Repairs - Equipment,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7228,l10n_ccleen_au.l10n_ccleen_au_chart_template,7228,Office Renovations,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7230,l10n_ccleen_au.l10n_ccleen_au_chart_template,7230,Small account bal written off,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7245,l10n_ccleen_au.l10n_ccleen_au_chart_template,7245,IT System (Oddo),account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7400,l10n_ccleen_au.l10n_ccleen_au_chart_template,7400,Rent,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7420,l10n_ccleen_au.l10n_ccleen_au_chart_template,7420,Cleaning,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7430,l10n_ccleen_au.l10n_ccleen_au_chart_template,7430,Utilities,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7432,l10n_ccleen_au.l10n_ccleen_au_chart_template,7432,Gas and Electric,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7434,l10n_ccleen_au.l10n_ccleen_au_chart_template,7434,Utilities : Water,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7500,l10n_ccleen_au.l10n_ccleen_au_chart_template,7500,Subscription,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7502,l10n_ccleen_au.l10n_ccleen_au_chart_template,7502,Membership,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7520,l10n_ccleen_au.l10n_ccleen_au_chart_template,7520,Conference,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_7600,l10n_ccleen_au.l10n_ccleen_au_chart_template,7600,ISO Management & Certification,account.data_account_type_expenses,FALSE,account_grp_expense
